Port,TCP,UDP,SCTP,DCCP,
5554,Unofficial,Unofficial,,,
5555,Unofficial,Unofficial,,,
5555,Unofficial,,,,
5555,Unofficial,,,,
5556,Yes,Yes,,,
5568,Yes,Yes,,,
5601,Unofficial,,,,
5631,Yes,,,,
5632,,Yes,,,
5656,Unofficial,,,,
5666,Unofficial,,,,
5667,Unofficial,,,,
5670,Yes,,,,
5670,,Yes,,,
5671,Yes,Assigned,,,
5672,Yes,Assigned,Yes,,
5678,Unofficial,No,,,
5678,No,Yes,,,
5683,Yes,Yes,,,
5684,Yes,Yes,,,
5693,Unofficial,,,,
5701,Unofficial,,,,
5718,Unofficial,,,,
5719,Unofficial,,,,
5722,Yes,Yes,,,
5723,Unofficial,,,,
5724,Unofficial,,,,
5741,Yes,Yes,,,
5742,Yes,Yes,,,
5800,Unofficial,,,,
5800,Unofficial,,,,
5900,Yes,Yes,,,
5900,Unofficial,,,,
5905,Unofficial,,,,
5931,Yes,Yes,,,
5938,Unofficial,Unofficial,,,
5984,Yes,Yes,,,
5985,Yes,,,,
5986,Yes,,,,
5988-5989,Yes,,,,
6000-6063,Yes,Yes,,,
6005,Unofficial,,,,
6005,Unofficial,,,,
6009,Unofficial,,,,
6024-6025,,Unofficial,,,
6026,Unofficial,,,,
6030-6031,,Unofficial,,,
6050,Unofficial,,,,
6051,Unofficial,,,,
6086,Yes,,,,
6100,Unofficial,,,,
6100,Unofficial,,,,
6101,Unofficial,,,,
6110,Yes,Yes,,,
6111,Yes,Yes,,,
6112,Yes,Yes,,,
6112,Unofficial,Unofficial,,,
6112,Unofficial,,,,
6113,Unofficial,,,,
6136,Unofficial,,,,
6159,Yes,,,,
6160,Unofficial,,,,
6161,Unofficial,,,,
6162,Unofficial,,,,
6163,Unofficial,,,,
6164,Unofficial,,,,
6165,Unofficial,,,,
6167,Unofficial,,,,
6170,Unofficial,,,,
6200,Unofficial,,,,
6201,Assigned,Assigned,,,
6201,Unofficial,,,,
6225,Unofficial,,,,
6227,Unofficial,,,,
6240,Unofficial,,,,
6244,Unofficial,Unofficial,,,
6255,Unofficial,Unofficial,,,
6257,,Unofficial,,,
6260,Unofficial,Unofficial,,,
6262,Unofficial,,,,
6343,,Yes,,,
6346,Yes,Yes,,,
6347,Yes,Yes,,,
6350,Yes,Yes,,,
6379,Yes,,,,
6389,Unofficial,,,,
6432,Yes,,,,
6436,Unofficial,,,,
6437,Unofficial,,,,
6443,Yes,,,,
6444,Yes,Yes,,,
6445,Yes,Yes,,,
6454,,Unofficial,,,
6463-6472,Unofficial,,,,
6464,Yes,Yes,,,
6513,Yes,,,,
6514,Yes,,,,
6515,Yes,Yes,,,
6516,Unofficial,Unofficial,,,
6543,Unofficial,,,,
6556,Unofficial,,,,
6566,Yes,,,,
6560-6561,Unofficial,,,,
6571,Unofficial,Unofficial,,,
6600,Yes,,,,
6600,Unofficial,,,,
6601,Yes,,,,
6602,Yes,,,,
6619,Yes,Yes,,,
6622,Yes,Yes,,,
6626,Yes,Yes,,,
6653,Yes,Assigned,,,
6660-6664,Unofficial,,,,
6665-6669,Yes,,,,
6679,Yes,Yes,,,
6679,Unofficial,,,,
6690,Unofficial,,,,
6697,Yes,,,,
6699,Unofficial,,,,
6715,Unofficial,,,,
6771,,Unofficial,,,
6783-6785,Unofficial,,,,
6801,Yes,Yes,,,
6881-6887,Unofficial,Unofficial,,,
6888,Yes,Yes,,,
6888,Unofficial,Unofficial,,,
6889-6890,Unofficial,Unofficial,,,
6891-6900,Unofficial,Unofficial,,,
6891-6900,Unofficial,Unofficial,,,
6901,Unofficial,Unofficial,,,
6901,Unofficial,Unofficial,,,
6902-6968,Unofficial,Unofficial,,,
6924,Yes,Yes,,,
6935,Yes,Yes,,,
6936,Yes,Yes,,,
6969,Yes,Yes,,,
6969,Unofficial,,,,
6970-6999,Unofficial,Unofficial,,,
6970-6999,,Unofficial,,,
6980,,Unofficial,,,
7000,Unofficial,,,,
7000,Unofficial,,,,
7001,Unofficial,,,,
7001,Unofficial,,,,
7002,Unofficial,,,,
7005,Unofficial,,,,
7006,Unofficial,,,,
7010,Unofficial,,,,
7022,Unofficial,,,,
7023,,Yes,,,
7025,Unofficial,,,,
7047,Unofficial,,,,
7070,Unofficial,Unofficial,,,
7077,Yes,Yes,,,
7133,Unofficial,,,,
7144,Unofficial,,,,
7145,Unofficial,,,,
7171,Unofficial,,,,
7262,Yes,Yes,,,
7272,Yes,Yes,,,
7306,Unofficial,,,,
7307,Unofficial,,,,
7312,,Unofficial,,,
7396,Unofficial,,,,
7400,Yes,Yes,,,
7401,Yes,Yes,,,
7402,Yes,Yes,,,
7471,Unofficial,,,,
7473,Yes,,,,
7474,Yes,,,,
7478,Yes,,,,
7542,Yes,Yes,,,
7547,Yes,Yes,,,
7575,,Unofficial,,,
7624,Yes,Yes,,,
7631,Yes,,,,
7634,Unofficial,,,,
7652-7654,Unofficial,,,,
7655,,Unofficial,,,
7656-7660,Unofficial,,,,
7659,Unofficial,Unofficial,,,
7670,Unofficial,,,,
7680,Unofficial,,,,
7687,Yes,,,,
7707-7708,,Unofficial,,,
7717,,Unofficial,,,
7777,Unofficial,,,,
7777,Unofficial,,,,
7777,Unofficial,,,,
7777,Unofficial,,,,
7777,Unofficial,,,,
7777,,Unofficial,,,
7777,,Unofficial,,,
7777-7788,,Yes,,,
7777-7788,Unofficial,Unofficial,,,
7831,Unofficial,,,,
7880,Unofficial,Unofficial,,,
7890,Unofficial,,,,
7915,Unofficial,,,,
7935,Unofficial,,,,
7946,Unofficial,Unofficial,,,
7979,,Unofficial,,,
7990,Unofficial,,,,
8000,Unofficial,,,,
8000,Unofficial,Unofficial,,,
8000,Unofficial,Unofficial,,,
8000,Unofficial,Unofficial,,,
8005,Unofficial,,,,
8005,Unofficial,,,,
8005,Unofficial,,,,
8006,Unofficial,,,,
8006,Unofficial,No,,,
8007,Unofficial,,,,
8007,Yes,,,,
8008,Unofficial,Unofficial,,,
8008,Unofficial,,,,
8008,Unofficial,,,,
8008,Unofficial,No,,,
8009,Unofficial,,,,
8010,Unofficial,No,,,
8042,Unofficial,Unofficial,,,
8061,Yes,Reserved,,,
8069,Unofficial,,,,
8070,Unofficial,,,,
8074,Yes,Yes,,,
8075,Unofficial,,,,
8080,Yes,Yes,,,
8080,Unofficial,,,,
8080,Unofficial,,,,
8081,Yes,Yes,,,
8088,Unofficial,,,,
8088,Unofficial,,,,
8089,Unofficial,No,,,
8089,Unofficial,,,,
8090,Unofficial,Unofficial,,,
8090,Unofficial,,,,
8090,Unofficial,Unofficial,,,
8091,Unofficial,Unofficial,,,
8092,Unofficial,Unofficial,,,
8096,Unofficial,,,,
8100,Unofficial,,,,
8102,Unofficial,,,,
8111,Unofficial,,,,
8112,Unofficial,,,,
8116,,Unofficial,,,
8118,Yes,,,,
8123,Unofficial,,,,
8123,Unofficial,,,,
8123,Unofficial,,,,
8123,Unofficial,,,,
8124,Unofficial,,,,
8125,Unofficial,,,,
8139,Unofficial,,,,
8140,Yes,,,,
8172,Unofficial,,,,
8184,Unofficial,,,,
8194-8195,Yes,Yes,,,
8200,Unofficial,,,,
8200,Unofficial,,,,
8200,Unofficial,,,,
8222,Unofficial,Unofficial,,,
8236,Unofficial,Unofficial,,,
8243,Yes,Yes,,,
8245,Unofficial,,,,
8280,Yes,Yes,,,
8281,Unofficial,,,,
8291,Unofficial,,,,
8303,,Unofficial,,,
8332,Unofficial,,,,
8333,Unofficial,,,,
8333,Unofficial,Unofficial,,,
8334,Unofficial,,,,
8337,Unofficial,,,,
8384,Unofficial,,,,
8388,Unofficial,,,,
8400,Yes,,,,
8401,Yes,,,,
8403,Yes,,,,
8443,Unofficial,,,,
8443,Unofficial,,,,
8443,Unofficial,,,,
8443,Unofficial,,,,
8443,Unofficial,,,,
8444,Unofficial,,,,
8444,Unofficial,,,,
8448,Yes,Yes,,,
8484,Unofficial,,,,
8500,Unofficial,,,,
8530,Unofficial,Unofficial,,,
8531,Unofficial,Unofficial,,,
8555,Unofficial,,,,
8555,Unofficial,,,,
8580,Unofficial,Unofficial,,,
8611-8614,Yes,Yes,,,
8629,Unofficial,,,,
8642,Unofficial,,,,
8691,Unofficial,,,,
8765,Unofficial,No,,,
8767,,Unofficial,,,
8834,Unofficial,Unofficial,,,
8840,Unofficial,Unofficial,,,
8880,Yes,,,,
8880,Unofficial,Unofficial,,,
8883,Yes,Yes,,,
8887,Unofficial,Unofficial,,,
8888,Unofficial,Unofficial,,,
8888,Unofficial,No,,,
8888,Unofficial,Unofficial,,,
8888,Unofficial,Unofficial,,,
8889,Unofficial,Unofficial,,,
8920,Unofficial,Unofficial,,,
8983,Unofficial,Unofficial,,,
8997,Unofficial,Unofficial,,,
8998,Unofficial,Unofficial,,,
8999,Unofficial,Unofficial,,,
9000,Unofficial,,,,
9000,Unofficial,,,,
9000,Unofficial,,,,
9000,Unofficial,,,,
9000,,Unofficial,,,
9000,Unofficial,,,,
9000,Unofficial,,,,
9000,Unofficial,,,,
9000,Unofficial,,,,
9000,Unofficial,,,,
9001,Yes,Yes,,,
9001,Unofficial,Unofficial,,,
9001,Unofficial,Unofficial,,,
9001,Unofficial,Unofficial,,,
9001,Unofficial,,,,
9001,Unofficial,,,,
9001,Unofficial,,,,
9002,Unofficial,Unofficial,,,
9002,Unofficial,,,,
9003,Unofficial,Unofficial,,,
9006,Reserved,Reserved,Reserved,Reserved,
9006,Unofficial,,,,
9030,Unofficial,,,,
9042,Unofficial,,,,
9043,Unofficial,,,,
9050-9051,Unofficial,,,,
9060,Unofficial,,,,
9080,Yes,Yes,,,
9080,Unofficial,,,,
9080,Unofficial,,,,
9080,Unofficial,,,,
9081,Unofficial,,,,
9090,Unofficial,,,,
9090,Unofficial,,,,
9090,Unofficial,,,,
9090,Unofficial,,,,
9091,Unofficial,,,,
9091,Unofficial,,,,
9092,Unofficial,,,,
9092,Unofficial,,,,
9100,Yes,Assigned,,,
9101,Yes,Yes,,,
9102,Yes,Yes,,,
9103,Yes,Yes,,,
9119,Yes,Yes,,,
9150,Unofficial,,,,
9191,Unofficial,,,,
9199,Unofficial,,,,
9200,Unofficial,,,,
9217,Unofficial,,,,
9229,Unofficial,,,,
9293,Unofficial,,,,
9295,Unofficial,Unofficial,,,
9296,,Unofficial,,,
9897,,Unofficial,,,
9300,Unofficial,,,,
9303,,Unofficial,,,
9306,Yes,,,,
9309,Unofficial,Unofficial,,,
9312,Yes,,,,
9332,Unofficial,,,,
9333,Unofficial,,,,
9339,Unofficial,,,,
9389,Yes,Yes,,,
9392,Unofficial,No,,,
9418,Yes,Yes,,,
9419,Unofficial,,,,
9420,Unofficial,,,,
9421,Unofficial,,,,
9422,Unofficial,,,,
9425,Unofficial,,,,
9443,Unofficial,,,,
9443,Unofficial,,,,
9535,Yes,Yes,,,
9536,Yes,Yes,,,
9600,No,Unofficial,,,
9669,Unofficial,No,,,
9675,Unofficial,Unofficial,,,
9676,Unofficial,Unofficial,,,
9695,Yes,Yes,,,
9735,Unofficial,,,,
9785,Unofficial,Unofficial,,,
9800,Yes,Yes,,,
9800,Unofficial,Unofficial,,,
9875,Unofficial,,,,
9898,Unofficial,,,,
9899,,Yes,,,
9901,Unofficial,,,,
9981,Unofficial,,,,
9982,Unofficial,,,,
9987,Unofficial,No,,,
9993,,Unofficial,,,
9997,Unofficial,,,,
9999,Unofficial,Unofficial,,,
9999,Unofficial,,,,
10000,Yes,Yes,,,
10000,Unofficial,Unofficial,,,
10000,Unofficial,Unofficial,,,
10000-20000,No,Unofficial,,,
10001,,Unofficial,,,
10009,Unofficial,Unofficial,,,
10011,Unofficial,No,,,
10022,Unofficial,No,,,
10024,Unofficial,,,,
10025,Unofficial,,,,
10042,Unofficial,,,,
10050,Yes,Yes,,,
10051,Yes,Yes,,,
10110,Yes,Yes,,,
10172,Unofficial,,,,
10200,Unofficial,,,,
10200,Unofficial,,,,
10201-10204,Unofficial,,,,
10212,Yes,,,,
10308,Unofficial,Unofficial,,,
10346,No,,,,
10468,,Unofficial,,,
10480,Unofficial,Unofficial,,,
10505,,Unofficial,,,
10514,Unofficial,Unofficial,,,
10578,Unofficial,No,,,
10800,Unofficial,,,,
10823,,Unofficial,,,
10836,Unofficial,,,,
10891,Unofficial,,,,
10933,Yes,No,,,
11001,,,,,
11100,No,Unofficial,,,
11111,Unofficial,,,,
11111,Yes,Yes,,,
11112,Yes,Yes,,,
11211,Unofficial,Unofficial,,,
11214,Unofficial,Unofficial,,,
11215,Unofficial,Unofficial,,,
11235,Yes,Yes,Yes,,
11311,Unofficial,Unofficial,,,
11371,Yes,Yes,,,
11753,Unofficial,,,,
12000,Unofficial,Unofficial,,,
12012,,Unofficial,,,
12013,Unofficial,Unofficial,,,
12035,,Unofficial,,,
12043,Unofficial,,,,
12046,Unofficial,,,,
12201,Unofficial,Unofficial,,,
12222,,Yes,,,
12223,,Yes,,,
12307,,Unofficial,,,
12308,,Unofficial,,,
12345,Unofficial,Unofficial,,,
12345,Unofficial,,,,
12345,Unofficial,Unofficial,,,
12443,Unofficial,,,,
12489,Unofficial,,,,
12975,Unofficial,,,,
13000-13050,,Unofficial,,,
13008,Unofficial,Unofficial,,,
13075,Yes,,,,
13400,Yes,Yes,,,
13698,Unofficial,,,,
13720,Yes,Yes,,,
13721,Yes,Yes,,,
13724,Yes,Yes,,,
13782,Yes,Yes,,,
13783,Yes,Yes,,,
13785,Yes,Yes,,,
13786,Yes,Yes,,,
14550,,Unofficial,,,
14567,,Unofficial,,,
14652,Unofficial,,,,
14800,Unofficial,,,,
15000,Unofficial,,,,
15000,Unofficial,,,,
15000,Unofficial,,,,
15000,,Unofficial,,,
15009,Unofficial,Unofficial,,,
15010,Unofficial,Unofficial,,,
15441,Unofficial,Unofficial,,,
15567,,Unofficial,,,
15345,Yes,Yes,,,
15672,Unofficial,No,,,
16000,Unofficial,,,,
16000,Unofficial,,,,
16080,Unofficial,,,,
16200,Unofficial,,,,
16225,Unofficial,,,,
16250,Unofficial,,,,
16261,Unofficial,Unofficial,,,
16300,Unofficial,,,,
16384,,Unofficial,,,
16384-16403,,Unofficial,,,
16384-16387,,Unofficial,,,
16393-16402,,Unofficial,,,
16403-16472,,Unofficial,,,
16400,Unofficial,,,,
16567,,Unofficial,,,
16666,Unofficial,Unofficial,,,
16677,Unofficial,Unofficial,,,
17000,,Unofficial,,,
17011,Unofficial,,,,
17224,Yes,Yes,,,
17225,Yes,Yes,,,
17333,Unofficial,,,,
17472,Yes,,,,
17474,,Unofficial,,,
17475,Unofficial,Unofficial,,,
17500,Yes,Yes,,,
17777,Unofficial,Unofficial,,,
18080,Unofficial,No,,,
18081,Unofficial,No,,,
18091,Unofficial,Unofficial,,,
18092,Unofficial,Unofficial,,,
18104,Yes,,,,
18200,Unofficial,Unofficial,,,
18201,Unofficial,Unofficial,,,
18206,Unofficial,Unofficial,,,
18300,Unofficial,Unofficial,,,
18301,Unofficial,Unofficial,,,
18306,Unofficial,Unofficial,,,
18333,Unofficial,,,,
18400,Unofficial,Unofficial,,,
18401,Unofficial,Unofficial,,,
18505,Unofficial,Unofficial,,,
18506,Unofficial,Unofficial,,,
18605,Unofficial,Unofficial,,,
18606,Unofficial,Unofficial,,,
18676,Unofficial,Unofficial,,,
19000,Unofficial,Unofficial,,,
19000,,Unofficial,,,
19001,Unofficial,Unofficial,,,
19132,,Unofficial,,,
19133,,Unofficial,,,
19150,Unofficial,Unofficial,,,
19226,Unofficial,,,,
19294,Unofficial,,,,
19295,,Unofficial,,,
19302,,Unofficial,,,
19531,Unofficial,No,,,
19532,Unofficial,No,,,
19788,No,Yes,,,
19812,Yes,No,,,
19813,Yes,Yes,,,
19814,Yes,,,,
19999,Yes,Yes,,,
20000,Yes,Yes,,,
20000,Yes,Yes,,,
20000,Unofficial,Unofficial,,,
20000,Unofficial,Unofficial,,,
20560,Unofficial,Unofficial,,,
20582,,Unofficial,,,
20583,,Unofficial,,,
20595,,Unofficial,,,
20808,,Unofficial,,,
21025,Unofficial,,,,
21064,Unofficial,,,,
22000,Unofficial,,,,
22136,Unofficial,,,,
22222,Unofficial,,,,
22347,Yes,Yes,,,
22350,Yes,Yes,,,
22351,Yes,,,,
23073,Unofficial,Unofficial,,,
23399,Unofficial,Unofficial,,,
23513,Unofficial,Unofficial,,,
24441,Unofficial,Unofficial,,,
24444,Unofficial,Unofficial,,,
24465,Yes,Yes,,,
24554,Yes,Yes,,,
24800,Unofficial,Unofficial,,,
24842,Unofficial,Unofficial,,,
25565,Unofficial,,,,
25565,,Unofficial,,,
25575,,Unofficial,,,
25600-25700,Unofficial,Unofficial,,,
25734-25735,Unofficial,Unofficial,,,
25826,,Unofficial,,,
26000,Yes,Yes,,,
26000,Unofficial,,,,
26000,,Unofficial,,,
26822,,Unofficial,,,
26900-26901,Unofficial,,,,
26909-26911,Unofficial,,,,
27000,Unofficial,,,,
27000-27006,,Unofficial,,,
27000-27009,Yes,Yes,,,
27000-27015,No,Unofficial,,,
27015,No,Unofficial,,,
27015-27018,,Unofficial,,,
27015-27030,No,Unofficial,,,
27015-27030,Unofficial,Unofficial,,,
27016,Unofficial,Unofficial,,,
27017,Unofficial,No,,,
27031-27035,No,Unofficial,,,
27036,Unofficial,Unofficial,,,
27374,Unofficial,Unofficial,,,
27500-27900,,Unofficial,,,
27888,,Unofficial,,,
27901-27910,,Unofficial,,,
27950,,Unofficial,,,
27960-27969,,Unofficial,,,
28000,Yes,Yes,,,
28001,Unofficial,Unofficial,,,
28015,,Unofficial,,,
28016,,Unofficial,,,
28200,Assigned,Assigned,,,
28260,Unofficial,,,,
28443,Unofficial,,,,
28769,Unofficial,,,,
28770,Unofficial,,,,
28770-28771,,Unofficial,,,
28785-28786,,Unofficial,,,
28852,Unofficial,Unofficial,,,
28910,Unofficial,Unofficial,,,
28960,Unofficial,Unofficial,,,
29000,Yes,Yes,,,
29070,Unofficial,Unofficial,,,
29900-29901,Unofficial,Unofficial,,,
29920,Unofficial,Unofficial,,,
30000,,Unofficial,,,
30000,,Unofficial,,,
30000,,Unofficial,,,
30003,Yes,Yes,,,
30004,Yes,Yes,,,
30033,Unofficial,No,,,
30120,Unofficial,Unofficial,,,
30564,Unofficial,,,,
31337,Unofficial,,,,
31337,Unofficial,Unofficial,,,
31416,Unofficial,Unofficial,,,
31438,Unofficial,,,,
31457,Yes,,,,
32137,Unofficial,Unofficial,,,
32400,Yes,,,,
32764,Unofficial,,,,
32887,Unofficial,,,,
32976,Unofficial,,,,
33434,Yes,Yes,,,
33848,,Unofficial,,,
34000,,Unofficial,,,
34197,No,Unofficial,,,
35357,Yes,,,,
36330,Unofficial,,,,
37008,,Unofficial,,,
40000,Yes,Yes,,,
41121,Yes,Yes,,,
41230,Assigned,Yes,,,
41794,Yes,Yes,,,
41795,Yes,Yes,,,
41796,Yes,No,,,
41797,Yes,No,,,
42081-42090,Yes,Yes,,,
42590-42595,Yes,Yes,,,
42999,Yes,,,,
43110,Unofficial,,,,
43594-43595,Unofficial,Unofficial,,,
44123,Assigned,Unofficial,,,
44405,Unofficial,,,,
44818,Yes,Yes,,,
47808-47823,Yes,Yes,,,
48556,Yes,Yes,,,
48656,Unofficial,,,,
48657,,Unofficial,,,
49151,Reserved,Reserved,,,
Port,TCP,UDP,SCTP,DCCP,
49152-65535,Unofficial,No,,,
49160,Unofficial,,,,
51820,No,Unofficial,,,
55555,No,,,,
60000-61000,No,Unofficial,,,
64738,Unofficial,Unofficial,,,
